Column27,x_coord,y_coord,heights1
STOW0114,195627.941,438129.523,11.065523147583
STOW0115,195388.274,438246.392,11.2027339935303
STOW0116,195384.471,438284.255,10.5751142501831
STOW0117,195381.704,438250.888,10.7675867080688
STOW0118,195378.247,438251.925,10.7445755004883
STOW0191,195561.072,438173.437,11.7833662033081
STOW0192,197238.094,443307.526,9.89261341094971
STOW0193,197561.606,444274.588,10.1590967178345
STOW0377,178562.127,441097.649,9.82447147369385
STOW0378,178463.898,441076.218,10.222580909729
STOW0379,175101.924,440430.034,7.35353183746338
STOW0109,198772.974,434949.068,10.7640037536621
STOW0110,198730.577,434998.838,10.6557884216309
STOW0111,198721.36,435008.054,10.4883718490601
STOW0112,197264.72,435983.38,11.5228643417358
STOW0113,196428.281,437600.361,12.065333366394
STOW0368,126029.936,425196.019,-0.633488357067108
STOW0369,172205.016,438651.988,7.11030006408691
STOW0370,145420.173,442502.147,4.37998390197754
STOW0371,142673.554,440860.724,1.91306889057159
STOW0372,142036.785,441092.723,3.42705821990967
STOW0374,141751.994,440958.072,1.73560011386871
STOW0375,141172.805,441209.433,3.00717353820801
STOW0376,140809.185,441233.322,2.15514349937439
STOW0298,198444.764,435316.359,
STOW0300,197291.638,435971.929,11.1719264984131
STOW0301,195205.072,438320.511,11.0160799026489
STOW0302,195200.278,438332.208,10.7747802734375
STOW0303,195128.341,442074.162,9.5883150100708
STOW0304,197366.248,443770.085,10.1985177993774
STOW0305,198105.771,444681.114,10.754017829895
STOW0306,202323.752,445800.136,7.87544012069702
STOW0239,204308.968,431998.95,16.2345008850098
STOW0240,204268.589,432076.084,16.6772003173828
STOW0241,204323.98,431971.514,16.7618999481201
STOW0278,197302.287,443508.909,10.400239944458
STOW0293,201788.747,445791.252,7.78562688827515
STOW0295,199886.623,433414.868,11.8979005813599
STOW0296,198782.455,434968.291,10.2099275588989
STOW0297,198766.128,434981.985,10.5989894866943
STOW0230,202364.011,445757.803,7.40854072570801
STOW0231,204586.112,445420.161,9.49499988555908
STOW0233,206501.62,446343.793,9.81933975219727
STOW0234,206556.266,446294.774,8.91414546966553
STOW0235,210511.275,464302.778,6.44256734848022
STOW0236,210305.049,459370.355,7.05905389785767
STOW0237,210144.943,463730.793,
STOW0238,204344.169,431872.121,12.356819152832
STOW0572,147114.596,425375.956,3.11034250259399
STOW0573,153458.738,425013.45,
STOW0574,145386.143,442415.427,
STOW0575,145393.023,442447.807,2.95509481430054
STOW0576,143159.855,440894.975,
STOW0578,185277.673,432050.709,8.57600021362305
STOW0579,161321.61,432606.41,6.18257188796997
STOW0580,198673.788,433562.542,10.8335514068604
STOW0557,197501.642,433319.206,10.8827123641968
STOW0562,150255.716,425136.427,2.77916884422302
STOW0563,149099.958,423858.276,3.12369608879089
STOW0564,148354.458,423782.498,2.95760011672974
STOW0565,148047.798,423898.819,2.83350992202759
STOW0566,147701.707,424936.293,3.09171748161316
STOW0568,168648.594,433870.791,8.50653648376465
STOW0571,147676.936,425361.245,2.77770161628723
STOW0546,136307.669,423250.232,0.820402503013611
STOW0547,136240.548,423363.363,0.981553554534912
